"Date","Price","Open","High","Low","Vol.","Change %"
"14-05-2023","9.840","9.840","9.840","9.840","","-11.47%"
"07-05-2023","11.115","11.115","11.115","11.115","","-1.77%"
"30-04-2023","11.315","11.315","11.315","11.315","","-2.03%"
"23-04-2023","11.550","11.550","11.550","11.550","","-2.78%"
"16-04-2023","11.880","11.880","11.880","11.880","","-5.66%"
"09-04-2023","12.593","12.593","12.593","12.593","","-0.25%"
"02-04-2023","12.625","12.625","12.625","12.625","","-6.59%"
"26-03-2023","13.515","13.515","13.515","13.515","","6.42%"
"19-03-2023","12.700","12.700","12.700","12.700","","-3.64%"
"12-03-2023","13.180","13.180","13.180","13.180","","-6.89%"
"05-03-2023","14.155","14.155","14.155","14.155","","-1.19%"
"26-02-2023","14.325","14.325","14.325","14.325","","-4.44%"
"19-02-2023","14.990","14.990","14.990","14.990","","-5.84%"
"12-02-2023","15.920","15.920","15.920","15.920","","-11.48%"
"05-02-2023","17.985","17.985","17.985","17.985","","-2.91%"
"29-01-2023","18.525","18.525","18.525","18.525","","-5.00%"
"22-01-2023","19.500","19.500","19.500","19.500","","-14.53%"
"15-01-2023","22.815","22.815","22.815","22.815","","-14.89%"
"08-01-2023","26.807","26.807","26.807","26.807","","-5.78%"
"01-01-2023","28.450","28.450","28.450","28.450","","-3.61%"
"25-12-2022","29.515","29.515","29.515","29.515","","4.96%"
"18-12-2022","28.120","28.120","28.120","28.120","","-20.96%"
"11-12-2022","35.575","35.575","35.575","35.575","","6.62%"
"04-12-2022","33.365","33.365","33.365","33.365","","5.05%"
"27-11-2022","31.760","31.760","31.760","31.760","","6.01%"
"20-11-2022","29.960","29.960","29.960","29.960","","13.55%"
"13-11-2022","26.385","26.385","26.385","26.385","","-3.09%"
"06-11-2022","27.225","27.225","27.225","27.225","","-5.88%"
"30-10-2022","28.925","28.925","28.925","28.925","","-4.09%"
"23-10-2022","30.160","30.160","30.160","30.160","","-7.11%"
"16-10-2022","32.470","32.470","32.470","32.470","","-6.64%"
"09-10-2022","34.779","34.779","34.779","34.779","","0.93%"
"02-10-2022","34.460","34.460","34.460","34.460","","-11.01%"
"25-09-2022","38.725","38.725","38.725","38.725","","3.07%"
"18-09-2022","37.570","37.570","37.570","37.570","","-10.89%"
"11-09-2022","42.160","42.160","42.160","42.160","","-21.78%"
"04-09-2022","53.900","53.900","53.900","53.900","","-2.43%"
"28-08-2022","55.245","55.245","55.245","55.245","","-19.70%"
"21-08-2022","68.800","68.800","68.800","68.800","","20.66%"
"14-08-2022","57.020","57.020","57.020","57.020","","25.62%"
"07-08-2022","45.390","45.390","45.390","45.390","","1.63%"
"31-07-2022","44.660","44.660","44.660","44.660","","5.77%"
"24-07-2022","42.225","42.225","42.225","42.225","","8.30%"
"17-07-2022","38.990","38.990","38.990","38.990","","-0.23%"
"10-07-2022","39.081","39.081","39.081","39.081","","-0.77%"
"03-07-2022","39.385","39.385","39.385","39.385","","1.84%"
"26-06-2022","38.675","38.675","38.675","38.675","","4.26%"
"19-06-2022","37.095","37.095","37.095","37.095","","9.25%"
"12-06-2022","33.955","33.955","33.955","33.955","","46.58%"
"05-06-2022","23.165","23.165","23.165","23.165","","-3.54%"
"29-05-2022","24.015","24.015","24.015","24.015","","6.14%"
"22-05-2022","22.625","22.625","22.625","22.625","","3.67%"
"15-05-2022","21.825","21.825","21.825","21.825","","-6.86%"
"08-05-2022","23.433","23.433","23.433","23.433","","-2.48%"
"01-05-2022","24.030","24.030","24.030","24.030","","-2.04%"
"24-04-2022","24.530","24.530","24.530","24.530","","-3.79%"
"17-04-2022","25.495","25.495","25.495","25.495","0.02K","-22.58%"
"10-04-2022","32.930","32.930","32.930","32.930","","-2.01%"
"03-04-2022","33.605","33.605","33.605","33.605","","-3.13%"
"27-03-2022","34.690","34.690","34.690","34.690","","0.76%"
