"Date","Price","Open","High","Low","Vol.","Change %"
"27-09-2023","39.295","39.000","39.800","38.720","0.34K","-2.54%"
"26-09-2023","40.320","42.850","42.980","39.300","0.83K","-9.27%"
"25-09-2023","44.440","39.475","44.730","39.475","0.49K","11.68%"
"22-09-2023","39.791","39.915","41.735","39.455","2.93K","1.75%"
"21-09-2023","39.105","35.695","39.335","35.695","4.22K","4.88%"
"20-09-2023","37.285","38.575","39.270","35.675","2.60K","1.37%"
"19-09-2023","36.780","34.250","37.490","34.050","1.54K","6.69%"
"18-09-2023","34.475","34.495","35.820","33.950","2.55K","-5.51%"
"15-09-2023","36.485","35.130","36.710","34.815","2.24K","2.72%"
"14-09-2023","35.520","37.450","37.720","35.180","2.22K","-3.52%"
"13-09-2023","36.815","35.270","37.975","35.270","1.87K","6.10%"
"12-09-2023","34.700","35.130","36.575","34.335","1.24K","-3.21%"
"11-09-2023","35.850","36.540","37.710","35.605","1.66K","3.88%"
"08-09-2023","34.510","35.090","36.860","33.985","1.93K","5.36%"
"07-09-2023","32.755","30.955","33.110","30.570","0.19K","5.41%"
"06-09-2023","31.075","33.680","34.100","30.800","2.98K","-9.80%"
"05-09-2023","34.450","36.250","37.000","32.925","3.02K","-3.28%"
"01-09-2023","35.617","35.750","37.155","34.315","3.05K","1.68%"
"31-08-2023","35.030","39.000","39.000","34.820","2.85K","-2.67%"
"30-08-2023","35.992","34.425","36.100","34.425","3.14K","2.26%"
"29-08-2023","35.195","36.885","36.885","34.805","1.95K","-8.38%"
"28-08-2023","38.415","35.495","38.480","35.495","0.11K","10.47%"
"25-08-2023","34.775","34.300","35.700","33.560","0.45K","8.88%"
"24-08-2023","31.940","33.165","33.480","31.725","0.50K","-13.17%"
"23-08-2023","36.785","41.650","42.495","36.475","0.72K","-14.27%"
"22-08-2023","42.910","39.355","44.700","39.355","5.92K","5.22%"
"21-08-2023","40.780","38.575","40.870","38.480","0.43K","12.00%"
"18-08-2023","36.410","36.265","37.750","35.685","0.55K","-1.13%"
"17-08-2023","36.825","37.150","39.325","36.325","0.59K","-2.54%"
"16-08-2023","37.785","41.830","41.830","37.160","1.42K","-2.65%"
"15-08-2023","38.815","36.835","40.500","36.200","1.70K","12.72%"
"14-08-2023","34.435","36.650","36.655","33.725","0.46K","-2.45%"
"11-08-2023","35.300","37.000","37.025","35.180","0.67K","-4.74%"
"10-08-2023","37.055","37.095","39.465","36.590","1.30K","-6.96%"
"09-08-2023","39.825","33.150","43.245","33.150","0.67K","28.20%"
"08-08-2023","31.065","29.810","31.695","29.785","0.82K","1.90%"
"07-08-2023","30.485","29.800","31.070","29.550","1.38K","5.66%"
"04-08-2023","28.853","29.500","29.785","28.645","1.45K","-5.32%"
"03-08-2023","30.475","29.875","31.350","29.680","2.08K","6.04%"
"02-08-2023","28.740","27.300","29.155","27.300","2.30K","5.95%"
"01-08-2023","27.125","29.115","29.115","26.980","2.04K","-4.37%"
"31-07-2023","28.365","27.805","28.925","27.170","0.62K","9.77%"
"28-07-2023","25.841","27.275","27.275","26.050","1.29K","-9.12%"
"27-07-2023","28.435","29.250","29.450","28.105","0.45K","-2.87%"
"26-07-2023","29.275","32.780","32.780","29.065","0.64K","-10.34%"
"25-07-2023","32.650","30.220","32.870","30.220","0.28K","6.86%"
"24-07-2023","30.555","28.150","30.425","28.150","0.28K","8.49%"
"21-07-2023","28.164","30.000","30.530","28.615","0.22K","0.51%"
"20-07-2023","28.020","25.540","27.915","25.540","0.48K","3.91%"
"19-07-2023","26.965","27.155","28.130","25.590","0.88K","-0.39%"
"18-07-2023","27.070","26.000","27.495","25.265","1.76K","7.85%"
"17-07-2023","25.100","24.465","25.785","24.465","3.05K","-3.30%"
"14-07-2023","25.957","27.570","28.700","25.110","1.82K","-2.44%"
"13-07-2023","26.605","26.885","27.545","26.230","0.37K","-0.13%"
"12-07-2023","26.640","28.455","28.580","26.320","1.54K","-8.33%"
"11-07-2023","29.060","29.930","29.930","28.910","0.54K","-3.85%"
"10-07-2023","30.225","32.830","32.830","29.555","0.77K","-9.72%"
"07-07-2023","33.478","33.300","33.585","32.705","0.26K","3.49%"
